NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,120,.11985410,.11973425,1.3154368,1.3154368,1094.8819
1999,679,.33782648,.55558089,1.4199440,2.7353809,400.11895
2999,1136,.37394442,.44614417,1.1755960,3.9109769,340.36516
3999,1530,.37962602,.39666516,1.3074050,5.2183819,335.85233
4999,1940,.38464947,.40473822,1.1545610,6.3729429,322.12927
5999,2292,.37888310,.35005703,1.1268289,7.4997718,319.71540
6999,2678,.38072149,.39174999,1.3177071,8.8174789,320.43864
7999,3052,.38044111,.37847874,1.0735281,9.8910069,314.19179
8999,3446,.38015175,.37783715,1.2007799,11.091787,310.78247
9999,3806,.37871694,.36580507,1.1481240,12.239911,309.35522
10999,4177,.37918899,.38390909,1.2237351,13.463646,308.86448
11999,4528,.37808440,.36593494,1.2518411,14.715487,310.27318
12999,4897,.37775382,.37378717,1.3429749,16.058462,311.86602
13999,5277,.37708871,.36844293,1.1979470,17.256409,309.75532
14999,5669,.37746893,.38279177,1.4119949,18.668404,310.63842
15999,6039,.37686926,.36787478,1.0839951,19.752399,307.32823
16999,6406,.37669034,.37382784,1.2980061,21.050405,307.55411
17999,6778,.37641323,.37170262,1.0781369,22.128542,304.34744
18999,7171,.37711334,.38971452,1.1872659,23.315808,301.82445
19999,7555,.37699775,.37480177,1.2889721,24.604780,301.07067
20999,7916,.37657618,.36814504,1.0824130,25.687193,298.80994
21999,8267,.37556707,.35437691,1.2496750,26.936868,298.89920
22999,8637,.37516505,.36632084,1.1029110,28.039779,296.60742
23999,9015,.37505867,.37261207,1.4307439,29.470523,297.43489
24999,9386,.37474827,.36729913,1.2508740,30.721397,296.58946
25999,9769,.37484613,.37729248,1.0742230,31.795620,293.67904
26999,10155,.37504636,.38025223,1.2401230,33.035743,292.27930
27999,10529,.37472829,.36614069,1.0774429,34.113186,289.87946
28999,10923,.37516424,.38737027,1.2722139,35.385400,288.56772
29999,11285,.37467234,.36040766,1.1943521,36.579752,287.56515
30999,11655,.37447117,.36843626,1.0723329,37.652085,285.40313
31999,12015,.37435999,.37091371,1.3160560,38.968141,285.36095
32999,12394,.37444305,.37710075,1.0959690,40.064110,283.18996
33999,12736,.37354729,.34398809,1.2529461,41.317056,283.09450
34999,13097,.37325983,.36348662,1.3183789,42.635435,282.90045
35999,13466,.37312654,.36846161,1.0896051,43.725040,280.98193
36999,13807,.37221525,.33940972,1.2471910,44.972231,280.74828
37999,14195,.37239891,.37919389,1.0821919,46.054423,278.38674
38999,14549,.37233003,.36971268,1.2654920,47.319915,277.92522
39999,14918,.37195446,.35730779,1.2060621,48.525977,276.75876
40999,15326,.37216526,.38059710,1.0806670,49.606644,274.06975
41999,15697,.37219009,.37320783,1.2749810,50.881625,273.26710
42999,16073,.37230047,.37693634,1.0929430,51.974568,271.39113
43999,16454,.37260886,.38586928,1.2188880,53.193456,270.09241
44999,16845,.37296413,.38859573,1.6446559,54.838112,270.70722
45999,17214,.37308331,.37844633,1.0742891,55.912401,268.89532
46999,17623,.37364952,.39969465,1.3728590,57.285260,267.77438
47999,18008,.37383398,.38250318,1.2890220,58.574282,266.69383
48999,18398,.37408069,.38592290,1.2418299,59.816112,265.30679
49999,18752,.37382674,.36138309,1.1916711,61.007783,264.33236
50999,19156,.37413600,.38959883,1.0707030,62.078486,261.98962
51999,19531,.37394467,.36418713,1.3283069,63.406793,261.24014
52999,19918,.37424021,.38960814,1.1883261,64.595119,259.71013
53999,20303,.37426851,.37576825,1.0760870,65.671206,257.78447
54999,20666,.37414240,.36733266,1.2183869,66.889593,256.78017
55999,21058,.37426729,.38113625,1.0689631,67.958556,254.76229
56999,21450,.37432994,.37783813,1.2168469,69.175403,253.32065
57999,21805,.37399418,.35485591,1.2178659,70.393269,252.43759
58999,22175,.37388728,.36768750,1.1114972,71.504766,250.95190
59999,22532,.37363118,.35852155,1.2092390,72.714005,250.00038
60999,22918,.37369225,.37735632,1.1094780,73.823483,248.29661
61999,23293,.37361727,.36904342,1.2690020,75.092485,247.28971
62999,23664,.37344677,.36287581,1.0835330,76.176018,245.73075
63999,24038,.37351499,.37781316,1.2394800,77.415498,244.63916
64999,24385,.37336652,.36386418,1.3674018,78.782900,244.29645
65999,24728,.37307627,.35421047,1.1243231,79.907223,243.23748
66999,25112,.37308979,.37398183,1.2552550,81.162478,242.03949
67999,25492,.37315150,.37728623,1.2084250,82.370903,240.75362
68999,25849,.37304254,.36563316,1.1376410,83.508544,239.55441
69999,26221,.37303935,.37281985,1.1812830,84.689827,238.29491
70999,26594,.37306701,.37500322,1.0701110,85.759938,236.71858
71999,26968,.37324120,.38560783,1.2841280,87.044066,235.72390
72999,27335,.37332412,.37929434,1.3031909,88.347257,234.85471
73999,27706,.37343739,.38170649,1.1342549,89.481512,233.48648
74999,28057,.37331818,.36449672,1.2895510,90.771063,232.75270
75999,28417,.37315681,.36105416,1.0769131,91.847976,231.36692
76999,28816,.37331453,.38530069,1.2167859,93.064762,229.89735
77999,29213,.37350635,.38827625,1.0787210,94.143483,228.12223
78999,29586,.37343379,.36777464,1.2735119,95.416995,227.09025
79999,29962,.37344753,.37453270,1.1784570,96.595452,225.79775
80999,30325,.37347950,.37603690,1.0736921,97.669144,224.40553
81999,30672,.37321113,.35147350,1.2783780,98.947522,223.65134
82999,31035,.37318827,.37131401,1.0749469,100.02247,222.26678
83999,31408,.37324645,.37807562,1.1888032,101.21127,221.03552
84999,31780,.37312214,.36268021,1.2599828,102.47125,219.96819
85999,32171,.37323566,.38288436,1.0947900,103.56604,218.35757
86999,32533,.37314162,.36505426,1.1872802,104.75332,217.23765
87999,32932,.37319717,.37803018,1.0751488,105.82847,215.52606
88999,33329,.37342344,.39333448,1.3580201,107.18649,214.41480
89999,33688,.37331018,.36323073,1.1972790,108.38377,213.34436
90999,34048,.37325027,.36785864,1.0985811,109.48235,212.07061
91999,34385,.37308198,.35776760,1.2708950,110.75325,211.34432
92999,34746,.37309904,.37466788,1.0827451,111.83599,210.03125
93999,35118,.37312600,.37563408,1.2009518,113.03695,208.84057
94999,35486,.37314201,.37464697,1.0868092,114.12375,207.47844
95999,35857,.37309092,.36823726,1.2710829,115.39484,206.42472
96999,36216,.37300707,.36495770,1.2610531,116.65589,205.45558
97999,36580,.37304906,.37712208,1.2044671,117.86036,204.33854
98999,36948,.37295279,.36351826,1.1923308,119.05269,203.16418
99999,37305,.37291332,.36900564,1.1141832,120.16687,201.95314
100999,37663,.37273895,.35530166,1.1930690,121.35994,200.86596
101999,38049,.37279757,.37871904,1.2074308,122.56737,199.56296
102999,38412,.37271388,.36417685,1.0867920,123.65416,198.26129
103999,38781,.37277790,.37937263,1.2526901,124.90685,197.17575
104999,39150,.37278872,.37391377,1.0841501,125.99100,195.82510
105999,39538,.37294083,.38891212,1.3275318,127.31854,194.69708
106999,39892,.37285282,.36352407,1.1987031,128.51724,193.64570
107999,40313,.37307142,.39646121,1.0931430,129.61038,191.89976
108999,40677,.37304607,.37030843,1.2826722,130.89305,190.89335
109999,41032,.37300031,.36801191,1.0690839,131.96214,189.64572
110999,41417,.37298898,.37174269,1.1934569,133.15559,188.34426
111999,41823,.37305514,.38039953,1.2063611,134.36196,186.90136
112999,42237,.37330594,.40139533,1.1520309,135.51399,185.32790
113999,42592,.37335006,.37833559,1.2729180,136.78690,184.36943
114999,42979,.37340420,.37957521,1.1036241,137.89053,182.94181
115999,43343,.37332695,.36444315,1.2394099,139.12994,181.86754
116999,43698,.37323137,.36214527,1.1675711,140.29751,180.76412
117999,44065,.37315073,.36371559,1.2308590,141.52837,179.65254
118999,44425,.37300563,.35588339,1.1777599,142.70613,178.52320
119999,44801,.37308723,.38279807,1.0758221,143.78195,177.15274
120999,45194,.37321535,.38858983,1.2813570,145.06331,175.91582
121999,45590,.37329902,.38342276,1.0707738,146.13408,174.40569
122999,45947,.37325533,.36792450,1.2142410,147.34832,173.34361
123999,46298,.37308983,.35273362,1.2596681,148.60799,172.37346
124999,46708,.37330813,.40037707,1.0810449,149.68904,170.78933
125999,47111,.37345390,.39167539,1.2039130,150.89295,169.39944
126999,47460,.37339123,.36549490,1.0769610,151.96991,168.23639
127999,47806,.37327477,.35848394,1.2666540,153.23656,167.30179
128999,48191,.37332492,.37974503,1.1834681,154.42003,166.01331
129999,48559,.37334080,.37538883,1.2260268,155.64606,164.88373
130999,48964,.37345910,.38883826,1.2304242,156.87648,163.51499
131999,49340,.37350377,.37935530,1.1314509,158.00793,162.23514
132999,49706,.37350567,.37375632,1.2973351,159.30527,161.18978
133999,50089,.37352427,.37599806,1.2156479,160.52092,159.95048
134999,50472,.37354989,.37698259,1.1085680,161.62948,158.60646
135999,50856,.37353333,.37129878,1.2934439,162.92293,157.43834
136999,51245,.37360314,.38309671,1.1561642,164.07909,156.10647
137999,51653,.37372870,.39093089,1.3983810,165.47747,154.88625
138999,52046,.37375871,.37790013,1.3135719,166.79105,153.67747
139999,52402,.37369842,.36531751,1.1261740,167.91722,152.52326
140999,52800,.37375227,.38129054,1.4081881,169.32541,151.36665
141999,53187,.37376776,.37595316,1.2846289,170.61004,150.16391
142999,53563,.37380604,.37924067,1.0929739,171.70301,148.85971
143999,53942,.37394775,.39421307,1.2028141,172.90582,147.63443
144999,54309,.37394128,.37300946,1.0895381,173.99536,146.38498
145999,54686,.37397939,.37950482,1.3428349,175.33820,145.28902
146999,55064,.37397134,.37279665,1.2683430,176.60654,144.12305
147999,55424,.37386542,.35829469,1.2044921,177.81103,143.00853
148999,55805,.37389429,.37816739,1.3976650,179.20870,141.92507
149999,56179,.37390794,.37594228,1.1863308,180.39503,140.71255
150999,56573,.37400754,.38894670,1.2260010,181.62103,139.41733
151999,56929,.37399383,.37192336,1.5510411,183.17207,138.58322
152999,57329,.37404940,.38249644,1.2171888,184.38926,137.24422
153999,57710,.37412612,.38586448,1.1069241,185.49618,135.93196
154999,58062,.37398702,.35256569,1.2786610,186.77484,134.90688
155999,58415,.37386405,.35480361,1.0905690,187.86541,133.73933
156999,58820,.37400917,.39664831,1.2166741,189.08209,132.37675
157999,59176,.37400706,.37367486,1.2703159,190.35240,131.31923
158999,59535,.37394392,.36396759,1.1355491,191.48795,130.15134
159999,59928,.37400116,.38310294,1.2712269,192.75918,128.89210
160999,60299,.37399816,.37351784,1.0903301,193.84951,127.63096
161999,60655,.37395705,.36733804,1.3292859,195.17880,126.60638
162999,61035,.37396092,.37458862,1.5143602,196.69316,125.56974
163999,61421,.37396244,.37421071,1.1007710,197.79393,124.23588
164999,61797,.37398297,.37734855,1.3684559,199.16238,123.12249
165999,62212,.37410123,.39361374,1.0886822,200.25107,121.63388
166999,62585,.37415634,.38330528,1.2881808,201.53925,120.48559
167999,62966,.37419721,.38102213,1.3336310,202.87288,119.32145
168999,63349,.37424013,.38145028,1.0964069,203.96928,118.00783
169999,63717,.37421710,.37032548,1.3039801,205.27326,116.89078
170999,64093,.37425303,.38036069,1.3404109,206.61367,115.75175
171999,64498,.37437621,.39544080,1.0955751,207.70925,114.33058
172999,64862,.37427940,.35762807,1.2487960,208.95805,113.19984
173999,65253,.37437632,.39114409,1.1066489,210.06469,111.85873
174999,65640,.37441434,.38102921,1.3944631,211.45916,110.69069
175999,66003,.37438947,.37003644,1.3071320,212.76629,109.59222
176999,66386,.37442283,.38029430,1.1072021,213.87349,108.29307
177999,66798,.37457905,.40222972,1.3121789,215.18567,106.95821
178999,67202,.37468956,.39436013,1.2050610,216.39073,105.60970
179999,67608,.37476526,.38831561,1.1105192,217.50125,104.20809
180999,67933,.37465688,.35514929,1.3149068,218.81616,103.28968
181999,68328,.37470659,.38370425,1.0799301,219.89609,101.92818
182999,68725,.37475522,.38360562,1.2522120,221.14830,100.63897
183999,69113,.37485155,.39247943,1.2770619,222.42536,99.403183
184999,69494,.37491856,.38724940,1.1182530,223.54361,98.129645
185999,69905,.37499061,.38831851,1.2393360,224.78295,96.771946
186999,70311,.37509053,.39367645,1.0814230,225.86437,95.371811
187999,70690,.37506597,.37047306,1.3278599,227.19223,94.200090
188999,71061,.37508437,.37854252,1.1811552,228.37339,93.003159
189999,71420,.37510968,.37989488,1.1332428,229.50663,91.841214
190999,71823,.37527426,.40654414,1.3276601,230.83429,90.558983
191999,72208,.37530562,.38129433,1.0952399,231.92953,89.266917
192999,72601,.37539672,.39288741,1.2717021,233.20123,88.008163
193999,72995,.37551117,.39759997,1.4170511,234.61828,86.798641
194999,73373,.37548198,.36981889,1.1345749,235.75286,85.554515
