ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
1,0,1.0000000,0.0000000,1,1,-41.228153,0.22222000,0.27273000,0.40000000,0.50000000,0.40000000,0.50000000,0.33333000,0.20000000,0.0000000,0.33333000,1.0000000
1,0,0.58079279E-1,0.0000000,1,36,-36.968266,0.12212035E-1,0.25356412,0.45856183,0.37416007,0.30844900,0.52801450,0.38498472,0.21972953,0.13315916,0.33693678,0.94816393
1,0,0.65260158E-1,0.0000000,2,6,-37.387951,0.11054601,0.20235619,0.64553213,0.44553342,0.25219818,0.69014247,0.48823668,0.68886297E-1,0.15687925,0.39900189,0.85558151
1,0,0.84581929E-1,0.0000000,2,2,-29.221228,0.27678646,0.21466372,0.61247222,0.49152967,0.28108443,0.63160845,0.29314020,0.36413498E-1,0.13798425,0.42394651,0.93892273
1,0,0.87385289E-1,0.0000000,4,10,-28.162747,0.31231071,0.21828942,0.69811488,0.57579213,0.14043723,0.58401118,0.20505056,0.33720155E-1,0.13463712,0.36098654,0.82245068
1,0,0.90722121E-1,0.0000000,4,9,-24.873799,0.37448944,0.15110932,0.80918613,0.53988069,0.32794128,0.51341571,0.34349962,0.76836763E-1,0.14799459,0.43676367,0.78373253
1,0,0.61337221E-1,0.0000000,6,40,-25.927571,0.14140096,0.76537440E-1,0.95633519,0.39000365,0.23167143,0.51504047,0.31406490,0.14968229,0.26665869E-1,0.42996961,0.86190840
1,0,0.53398375E-1,0.0000000,6,35,-21.429328,0.73253438E-2,0.19700067,0.81875518,0.51274451,0.44325286,0.49684274,0.17193178,0.63999548E-1,0.54867421E-1,0.34889995,0.85553821
1,0,0.57385455E-1,0.0000000,8,8,-21.344755,0.73700707E-2,0.24638377,0.66401698,0.60058687,0.33972304,0.40724867,0.30348912,0.69009133E-1,0.83610067E-2,0.34710350,0.82988050
1,0,0.62904413E-1,0.0000000,8,3,-14.756514,0.88401665E-1,0.20552581,0.52636168,0.61626465,0.42172330,0.36947216,0.22893215,0.75167894E-1,0.11100879,0.36495223,0.86944788
1,0,0.37775503E-1,0.0000000,10,134,-11.749486,0.69344391E-1,0.10944127,0.44733107,0.43562502,0.49286715,0.11940219,0.15224609,0.32016460E-1,0.80363163E-1,0.33160012,0.88255728
1,0,0.38276608E-1,0.99999867,11,25,-11.848757,0.29901255E-1,0.14197990,0.55728692,0.53458605,0.45713876,0.42733431E-1,0.29370988,0.44822050E-1,0.12592561E-1,0.33654785,0.80342543
1,0,0.42207785E-1,0.0000000,11,2,-11.183612,0.33646184E-1,0.14403835,0.54245075,0.53464615,0.45607942,0.35436205E-1,0.28571909,0.40993667E-1,0.15949257E-1,0.33479546,0.80754574
1,0,0.45658361E-1,0.0000000,11,2,-11.238150,0.41959822E-1,0.13878085,0.55097366,0.52783389,0.45567027,0.29304306E-1,0.28986901,0.38421410E-1,0.11972525E-1,0.33692702,0.80695530
1,0,0.48697666E-1,0.0000000,11,1,-10.576332,0.28577687E-1,0.14503277,0.54778951,0.52339933,0.44042076,0.40763077E-1,0.29895505,0.45346113E-1,0.92602726E-2,0.33465380,0.81006348
1,0,0.50975353E-1,0.0000000,11,1,-10.842684,0.36456514E-1,0.14258186,0.53347412,0.52338850,0.44998687,0.24516753E-1,0.30553797,0.42175807E-1,0.13139217E-1,0.33680720,0.80871701
