SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
-8.9515623,0.38924713,0.11589279,0.15263867,0.58038159,0.34359057,0.12615640E-1,0.13904568,0.26197826,0.76951611E-1,0.29372635,0.95036952
-7.1301877,0.27870921,0.13213212,0.31745332,0.54858121,0.26542455,0.14268433,0.38589527,0.25544332,0.22443088E-1,0.34748506,0.87582239
-5.2933302,0.29576391,0.14764473,0.32150589,0.61764668,0.15023573,0.15583194E-1,0.37646227,0.24765088,0.80124881E-2,0.33764013,0.85160743
-7.6168649,0.22886917,0.17036751,0.32260759,0.59358289,0.19030158,0.85506281E-1,0.32227862,0.18732708,0.33178739E-1,0.32793902,0.84746102
-8.7060773,0.21745683,0.12241238,0.33363287,0.50243888,0.29971438,0.17684646,0.35709904,0.23302789,0.52918597E-1,0.35228230,0.85209872
-6.0424282,0.28739428,0.14186327,0.32395576,0.59583214,0.18641861,0.64896254E-1,0.38669277,0.24396592,0.23250704E-1,0.33840338,0.85528582
-6.2937087,0.37590149,0.15139687,0.28619789,0.61755909,0.15929238,0.54835200E-1,0.42025038,0.40089251,0.21174874E-2,0.34762538,0.91737496
-6.3512666,0.30225815,0.14139618,0.28405053,0.57557080,0.20985958,0.54556320E-1,0.28677767,0.33878530,0.37564436E-1,0.34395171,0.88860262
-8.7907569,0.31664966,0.14307937,0.22008910,0.59198773,0.29512978,0.70492987E-1,0.12896328,0.26061702,0.66015951E-1,0.32468386,0.89595519
-7.3054276,0.22101718,0.15224297,0.34239502,0.55219807,0.20999780,0.79112948E-1,0.25332403,0.23359463,0.80819099E-1,0.32948954,0.84387153
-5.9903399,0.29192879,0.15987034,0.28684910,0.60323300,0.22298410,0.54226922E-1,0.23609899,0.24193373,0.25694279E-1,0.32964342,0.87800847
-6.6806083,0.41488719,0.14348761,0.22091822,0.62433607,0.29404842,0.10799967,0.25670209,0.31338008,0.36586458E-1,0.32773638,0.93342849
-9.3489621,0.28302020,0.15552817,0.36210066,0.51876132,0.26616879,0.22982761,0.33219759,0.33005520,0.10977854,0.32995276,0.90777669
-6.5730658,0.26908832,0.15080882,0.26675216,0.58980939,0.23166458,0.73574359E-1,0.27385395,0.24256671,0.20228460E-1,0.34071425,0.86560771
-5.4189125,0.37798254,0.15675655,0.35444120,0.63726020,0.10500403,0.51956416E-1,0.42771172,0.35292017,0.20472015E-1,0.32984600,0.89846697
-8.1150897,0.45638016,0.10197052,0.24760601,0.62162510,0.25659712,0.10548888E-1,0.27757936,0.37307823,0.88725283E-1,0.33158361,0.89639026
