SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Backs par SMW,Backs par H2O,Scalefactor 1,SLD D2O,SLD SMW,SLD H2O
-10.804436,0.17026100,0.20010245,0.63009848,0.53212993,0.24081524,0.22250785,0.27596547,0.19823197,0.62746096E-1,0.54357844E-1,0.15695497,0.35807598,0.91246096,0.39785955,0.22063590
-12.706556,0.51562151,0.18101593,0.36022650,0.58202171,0.37071293,0.15394654,0.38380789,0.77240477E-1,0.92760146E-1,0.78880885E-1,0.48687052E-1,0.31092999,0.92513139,0.44477716,0.13392268
-11.333449,0.45791695,0.22015398,0.48378815,0.56671110,0.27126385,0.10115650,0.24890051,0.15383075,0.36509576E-1,0.87579787E-1,0.19958227,0.36457736,0.84543359,0.40141918,0.28289800
-11.299963,0.46684073,0.10602390,0.54816713,0.47944042,0.33679322,0.21874372,0.21662917,0.22946178,0.59172413E-1,0.32347240E-1,0.22091724,0.34028702,0.84215816,0.53517837,0.10153151
-8.3327524,0.43987876,0.14035657,0.46738323,0.49320567,0.36899026,0.22505731,0.28399191,0.21029301,0.61503242E-1,0.43413988E-1,0.17495163,0.33592604,0.89363658,0.52197788,0.10272189
-11.523009,0.33633802,0.22450146,0.55547333,0.63512831,0.15922698,0.62907323E-1,0.27335560,0.17177186,0.10809776,0.16764853,0.88250995E-1,0.31401592,0.88958349,0.39563635,0.55620076
-7.5284683,0.36698772,0.19188280,0.51061927,0.55342989,0.33540134,0.14937454,0.27706329,0.23451727,0.24596850E-1,0.57325041E-1,0.16243557,0.32860284,0.90076347,0.43619280,0.30085080
-8.7487550,0.29041303,0.14487810,0.60160446,0.55270718,0.27466678,0.28655573,0.17501128,0.22796574,0.23681139E-1,0.57815848E-1,0.18086844,0.36117835,0.87211352,0.48139297,0.20761147
-8.9867011,0.33371910,0.19568598,0.56015475,0.57405625,0.21547235,0.21801480,0.25240806,0.15199547,0.10320578,0.10583534,0.80784682E-1,0.34215397,0.90639675,0.42193078,0.51096450
-15.453623,0.30571364,0.13173258,0.72857202,0.59859927,0.68468379E-1,0.93246852E-1,0.20060577,0.22835046,0.11242435E-1,0.64920630E-1,0.15032488,0.35608401,0.78960093,0.42890226,0.66136439
-7.6189023,0.24510088,0.15820313,0.60820874,0.54520645,0.13738790,0.86231692E-1,0.45197555,0.23156023,0.61414356E-1,0.80142815E-1,0.11452229,0.34476713,0.86717324,0.42644706,0.72777777
-10.692451,0.83490305E-2,0.12791425,0.60845118,0.63010759,0.90212325E-1,0.21927371,0.44931122,0.35790679,0.34758274E-1,0.15046065,0.11120579,0.37518295,0.88190677,0.59816232,0.30618809
-10.588545,0.75445522,0.13353492,0.38822086,0.63338763,0.35512739,0.17324393E-1,0.27951482,0.37933284,0.74644801E-1,0.61608032E-1,0.21396687,0.32642426,0.90430262,0.45868736,0.87706839
-6.6856462,0.30669701,0.15519670,0.42274801,0.59630516,0.34167158,0.14863394,0.35602281,0.29917034,0.35282147E-1,0.24611446E-1,0.91388858E-1,0.33153549,0.89747285,0.49519990,0.33074539
-7.3082652,0.50651393,0.20772277,0.46504736,0.63905595,0.10630123,0.67384322E-1,0.41960054,0.23000826,0.61739415E-1,0.90525374E-1,0.11666407,0.34919325,0.86540180,0.49695012,0.38591473
-7.8451443,0.22222413,0.14441989,0.55930558,0.58544637,0.21106735,0.13615851,0.31947052,0.22946059,0.61363136E-1,0.76612774E-1,0.16104571,0.37217357,0.83538489,0.37065104,0.66809326
-13.028458,0.46013982,0.25360148,0.45225975,0.65947229,0.13771572,0.25755064,0.52365211E-1,0.51545746E-1,0.70676497E-1,0.12858091,0.10752829E-1,0.35467456,0.88270792,0.40473744,0.28771456
-10.408341,0.57411774,0.19932587,0.61153877,0.66456986,0.79137161E-1,0.15354166,0.41767459,0.13735356,0.72903256E-1,0.15283554,0.15977834,0.36357204,0.88300290,0.54306541,0.65425702
-8.0539527,0.36168768,0.14053815,0.43098322,0.57165213,0.24345590,0.22677557,0.15739579,0.16541184,0.47059656E-1,0.40567674E-1,0.11541525,0.36974708,0.83156285,0.34833359,0.48049620
-8.3043814,0.16918619,0.12647820,0.35589165,0.49332414,0.31356826,0.54103199E-1,0.19416149,0.37096060,0.13636085E-1,0.16797932,0.13329532,0.32382233,0.88921610,0.38493954,0.36558987
-7.3910450,0.33397576,0.16237361,0.53084760,0.59710392,0.20804782,0.14222896E-1,0.49173994,0.23171390,0.17182179E-1,0.48424073E-1,0.14506319,0.33229910,0.91670415,0.41335554,0.75206355
-12.873060,0.13306143,0.87009738E-1,0.17889190,0.60666713,0.24756461,0.11320338,0.15247864,0.28279568,0.13869402E-1,0.78336894E-1,0.58277168E-1,0.35825375,0.87124253,0.38659881,0.59003727E-1
-7.4943617,0.59283176,0.17347243,0.30191286,0.62743996,0.74236232E-1,0.74744385E-3,0.43575104,0.21097591,0.51786125E-2,0.21563254E-2,0.12922548,0.34494048,0.88386485,0.45492068,0.62465488
-7.5290849,0.24614827,0.16884438,0.52466351,0.51622511,0.51944962,0.78075716E-1,0.27812595,0.18647155E-2,0.57694999E-1,0.31688728E-2,0.17458427,0.35128486,0.84255282,0.40173109,0.52490642
-9.5240688,0.30431264,0.14524859,0.29466448,0.65687619,0.15571876,0.21774644,0.19714767,0.37686226,0.37557946E-1,0.11882563,0.32361365E-1,0.32476126,0.92311096,0.44952562,0.35762661
-11.198516,0.62188266,0.15039228,0.31202647,0.65740313,0.20969911,0.98990990E-1,0.45097865,0.27093328,0.39796835E-1,0.48742336E-1,0.46967563E-2,0.32620196,0.95250346,0.53557347,0.41284958
-7.6376941,0.43032730,0.11055495,0.50699663,0.52337534,0.38174555,0.98890639E-1,0.31304650,0.27859916,0.32197140E-1,0.75663349E-1,0.17960358,0.34735835,0.88756433,0.42168716,0.98222528
-8.8206224,0.72767811,0.19252298,0.49904149,0.63914489,0.16351361,0.23132077,0.23073616,0.10691259,0.18641549E-1,0.13550971E-1,0.12128089,0.33637232,0.91529906,0.59063318,0.77870786
-6.8360440,0.54924395,0.14778489,0.40719886,0.54899673,0.25799792,0.15120101,0.34497190,0.17442445,0.41604998E-1,0.21011702E-1,0.42397566E-1,0.36170959,0.87689823,0.47081190,0.38906379
