ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Backs par SMW,Backs par H2O,Scalefactor 1,SLD D2O,SLD SMW,SLD H2O
1,0,0.50000000,0.0000000,1,2,-41.228149,0.22222000,0.27273000,0.40000000,0.50000000,0.40000000,0.50000000,0.33333000,0.20000000,0.0000000,0.0000000,0.0000000,0.33333000,1.0000000,0.53650000,0.13333000
1,0,0.25079243,0.0000000,1,6,-33.368928,0.17176673,0.21903381,0.36590666,0.44632017,0.39840476,0.34005234,0.44590667,0.30274509,0.48825743E-1,0.60849024E-2,0.15185591,0.29510664,0.86539686,0.56304484,0.19922419
1,0,0.28792751,0.0000000,2,2,-33.504821,0.22072108,0.18478152,0.28199933,0.45976704,0.55199958,0.28429035,0.57857489,0.33519814,0.18713860E-1,0.38360766E-1,0.30775364,0.36326920,0.95433641,0.45551597,0.35571036E-2
1,0,0.14367865,0.0000000,2,17,-26.344714,0.15609340,0.15218029,0.31918118,0.38399007,0.53719795,0.23730795,0.58673593,0.45069519,0.14006868,0.68210892E-1,0.26794929,0.34109112,0.95749541,0.36349512,0.99194957E-1
1,0,0.12231810,0.0000000,4,5,-29.754491,0.21039324,0.34843080E-1,0.19533173,0.41352591,0.38305484,0.33620867,0.49816041,0.44738919,0.48652260E-1,0.49656809E-1,0.29548099,0.44909207,0.80340581,0.37245606,0.83264665E-1
1,0,0.74468698E-1,0.0000000,4,34,-26.766914,0.24292903,0.63985782E-1,0.11477469,0.48171723,0.57804797,0.27573907,0.52239915,0.50943384,0.63397778E-1,0.90921562E-1,0.22507979,0.42250028,0.82729435,0.26086097,0.81972162E-1
1,0,0.85375206E-1,0.0000000,4,3,-26.791253,0.19804357,0.39205212E-1,0.64563286E-1,0.48046396,0.54242705,0.91387869E-1,0.61940946,0.51000552,0.34110771E-1,0.11702007,0.11955605,0.38516896,0.80978499,0.19119700,0.87715765E-1
1,0,0.61735477E-1,0.0000000,4,46,-26.503170,0.85657589E-1,0.10853684,0.19570236,0.34531228,0.64093059,0.32491916E-1,0.68994929,0.54969764,0.10541026,0.24420366,0.26962997E-1,0.38912648,0.84824946,0.24168398,0.84397183E-1
1,0,0.60288653E-1,0.0000000,4,21,-26.421018,0.24841763,0.15779639E-1,0.19546569,0.34256572,0.66559689,0.45561455E-2,0.58404150,0.43236166,0.95067734E-2,0.18464953E-1,0.77916514E-1,0.36476241,0.86672062,0.25341394,0.60556663E-1
1,0,0.66661282E-1,0.0000000,4,2,-23.959565,0.33960800,0.10474263,0.29064653,0.34763726,0.59665016,0.28103119E-1,0.54562074,0.28115687,0.41243076E-1,0.57878664E-1,0.17258337,0.36688810,0.94740458,0.27059502,0.18034244E-1
1,0,0.65574609E-1,0.0000000,4,22,-23.843347,0.29259298,0.11165659,0.32597317,0.49486667,0.51172126,0.13887718,0.53902078,0.43870505,0.15072963,0.71770809E-1,0.10907578,0.37838757,0.94771818,0.19767660,0.21476640E-1
1,0,0.62461122E-1,0.0000000,10,26,-18.987697,0.46584908,0.70481080E-1,0.42301699,0.60180495,0.54916352,0.99343706E-1,0.39571047,0.31130280,0.76164755E-1,0.17478463,0.63730993E-1,0.39972769,0.87050330,0.40796362,0.10971448E-1
1,0,0.51642690E-1,0.0000000,12,47,-19.886888,0.41022675,0.98908643E-1,0.45178051,0.50745266,0.58869091,0.11979190,0.25731892,0.30273190,0.21370528E-1,0.25780972,0.21058320,0.27246600,0.91608032,0.41870414,0.72747900E-2
1,0,0.52552266E-1,0.0000000,12,15,-18.855616,0.40640493,0.17546917,0.43562699,0.47951692,0.53400914,0.31878223,0.15967230,0.27086366,0.66966431E-3,0.22308804,0.20761421E-1,0.28526052,0.97656217,0.44440235,0.11685381
1,0,0.54992728E-1,0.0000000,12,14,-18.908257,0.40733928,0.23912397,0.47876507,0.48330044,0.51326326,0.30523251,0.12859359,0.22740096,0.19081671E-1,0.10641556,0.26142522E-1,0.28738226,0.97287963,0.42737671,0.16411015
1,0,0.58363996E-1,0.0000000,12,2,-16.972140,0.27420407,0.19459281,0.45808465,0.42923261,0.35802974,0.34802782,0.13222205,0.17088662,0.45522444E-1,0.14787704,0.13642544,0.39098713,0.84773554,0.37502712,0.19187051
1,0,0.58457237E-1,0.0000000,12,12,-17.292206,0.37599081,0.20354084,0.56284502,0.46760687,0.41490896,0.28420287,0.24822866,0.28625347,0.59806336E-1,0.59100177E-1,0.10908893,0.38951514,0.88773295,0.35965399,0.29106129
1,0,0.55887458E-1,0.99999999,12,24,-17.759144,0.48188561,0.14382975,0.53938488,0.63762217,0.35882326,0.25585520,0.22872888,0.41230471,0.42474967E-1,0.96065947E-1,0.13799581,0.34251836,0.91301266,0.38217954,0.29545849
1,0,0.60366224E-1,0.0000000,12,2,-17.877344,0.48116844,0.14870887,0.55358223,0.63404581,0.35038660,0.25485422,0.21029168,0.40172722,0.46437368E-1,0.10448945,0.12697055,0.34328919,0.90757204,0.37845648,0.30308444
1,0,0.62141907E-1,0.0000000,12,1,-18.390843,0.48396023,0.15502781,0.55923401,0.63873046,0.34366533,0.26741691,0.19034590,0.39111108,0.41656099E-1,0.10970960,0.13215139,0.33714033,0.90875105,0.38966778,0.30350584
1,0,0.65226967E-1,0.0000000,12,1,-16.842094,0.47241252,0.15727995,0.53786534,0.63181129,0.34584948,0.26885994,0.20017932,0.38612886,0.38801976E-1,0.11522765,0.13093691,0.34162237,0.90745266,0.38118222,0.29624992
1,0,0.67790135E-1,0.0000000,12,1,-17.008157,0.47905636,0.16166830,0.54486639,0.64193564,0.32627896,0.28821758,0.18731525,0.37443088,0.37066163E-1,0.10535445,0.13938923,0.34205839,0.90792231,0.39520016,0.30271981
1,0,0.71497043E-1,0.0000000,12,2,-17.158433,0.48150242,0.17128031,0.56285810,0.63764671,0.32060620,0.29437921,0.16616527,0.35072929,0.27577396E-1,0.10352913,0.12608287,0.33296896,0.91452120,0.41133389,0.31052357
1,0,0.73628454E-1,0.0000000,12,2,-17.766523,0.48568286,0.17653321,0.57446407,0.63725686,0.31170535,0.29220089,0.14018659,0.34307359,0.27451192E-1,0.11311230,0.10854688,0.33403660,0.90530690,0.40238491,0.32959521
1,0,0.78556007E-1,0.0000000,12,2,-16.909302,0.48507190,0.16678312,0.56248076,0.62848141,0.32424776,0.27660832,0.15061091,0.35459463,0.31865555E-1,0.11682290,0.11670902,0.34014536,0.90224767,0.38286709,0.32220571
