Q (1/A)	 Ref	 dRef (SD)	 dq(FWHM, 1/A)
0.0087866	 0.949609	 0.0233609	 0.000508371
0.00913645	 0.994757	 0.020819	 0.000528728
0.00950056	 1.01459	 0.018726	 0.00054991
0.00987951	 0.962187	 0.0162881	 0.000571952
0.0102739	 0.976435	 0.0148572	 0.000594887
0.0106843	 0.969773	 0.0132525	 0.000618752
0.0111114	 0.952295	 0.0118037	 0.000643583
0.0115559	 0.977529	 0.011367	 0.00066942
0.0120184	 1.00307	 0.0110699	 0.000696303
0.0124996	 0.976193	 0.00978806	 0.000724275
0.0130004	 0.979462	 0.00949092	 0.000753378
0.0135215	 0.941764	 0.00830367	 0.000783658
0.0140637	 0.863752	 0.00726943	 0.000815163
0.0146278	 0.710757	 0.00626367	 0.000847942
0.0152148	 0.543213	 0.00503187	 0.000882047
0.0158256	 0.516312	 0.00475721	 0.000917531
0.016461	 0.498315	 0.00442502	 0.000954449
0.0171222	 0.481733	 0.00431304	 0.00099286
0.0178101	 0.456671	 0.00402065	 0.00103282
0.0185258	 0.425899	 0.00368939	 0.0010744
0.0192705	 0.38421	 0.00340281	 0.00111766
0.0200452	 0.344386	 0.00313655	 0.00116267
0.0208512	 0.308408	 0.00307228	 0.0012095
0.0216898	 0.266529	 0.00284487	 0.00125822
0.0225623	 0.210538	 0.00249203	 0.00130891
0.02347	 0.167901	 0.00217423	 0.00136164
0.0244143	 0.129853	 0.00202224	 0.00141652
0.0253968	 0.0951775	 0.00172788	 0.0014736
0.0264189	 0.0700166	 0.00153022	 0.001533
0.0273533	 0.0553794	 0.00114628	 0.00158933
0.028353	 0.045527	 0.00098602	 0.00164912
0.0294229	 0.0394332	 0.000866336	 0.00171262
0.030547	 0.0397747	 0.000815146	 0.00177915
0.0317323	 0.0399321	 0.000783693	 0.00184906
0.0329752	 0.0395284	 0.000769918	 0.00192221
0.0338471	 0.0367995	 0.000873223	 0.0019806
0.0352058	 0.0384204	 0.000885859	 0.00206038
0.0366194	 0.0329442	 0.000727599	 0.0021434
0.0380903	 0.0283135	 0.000611075	 0.00222979
0.0396206	 0.021392	 0.000453272	 0.00231969
0.0412128	 0.0154533	 0.000330102	 0.00241324
0.0428694	 0.0101235	 0.000221996	 0.00251059
0.0445929	 0.00583358	 0.000135912	 0.0026119
0.046386	 0.00316436	 8.54867e-05	 0.00271733
0.0482516	 0.00155948	 5.2069e-05	 0.00282706
0.0501925	 0.000768474	 3.36801e-05	 0.00294124
0.0522117	 0.000443333	 2.48604e-05	 0.00306009
0.0543125	 0.00033169	 2.12798e-05	 0.00318377
0.0564981	 0.000245906	 1.84485e-05	 0.00331251
0.058772	 0.000192933	 1.63473e-05	 0.0034465
0.0611376	 0.000217841	 1.67671e-05	 0.00358598
0.0635986	 0.000253256	 1.76579e-05	 0.00373116
0.066159	 0.000261266	 1.8571e-05	 0.00388229
0.0688227	 0.000234292	 1.70675e-05	 0.00403961
0.0715938	 0.00026209	 1.8572e-05	 0.00420341
0.0744768	 0.000459092	 2.41211e-05	 0.00437394
0.0780933	 0.000877225	 2.83521e-05	 0.00458986
0.0814017	 0.00104011	 2.95517e-05	 0.00478647
0.0850123	 0.000924732	 2.63252e-05	 0.0050017
0.088729	 0.000505447	 1.7845e-05	 0.0052234
0.0925091	 0.000142187	 9.69444e-06	 0.00544893
0.0959899	 9.62834e-05	 8.01462e-06	 0.00565571
0.0997719	 0.000221362	 1.01804e-05	 0.00588115
0.104172	 0.000290156	 1.09838e-05	 0.00614509
0.109084	 0.000182406	 9.022e-06	 0.00644115
0.113481	 0.000126913	 6.86049e-06	 0.006705
0.118054	 0.000167094	 7.49333e-06	 0.00698
0.122813	 0.000154951	 6.73566e-06	 0.00726668
0.127763	 7.25013e-05	 4.17795e-06	 0.00756559
0.132912	 4.06611e-05	 3.20563e-06	 0.0078773
0.138269	 9.38455e-05	 4.33329e-06	 0.00820242
0.143842	 0.000107523	 4.6052e-06	 0.0085416
0.149639	 4.73278e-05	 2.80741e-06	 0.00889551
0.15567	 1.08288e-05	 1.69898e-06	 0.0092649
0.161944	 1.21817e-05	 1.6912e-06	 0.00965052
0.168472	 8.88441e-06	 1.56596e-06	 0.0100532
0.175262	 5.4869e-06	 1.4682e-06	 0.0104738
0.182325	 1.13599e-05	 1.50837e-06	 0.0109133
0.189674	 8.21899e-06	 1.45665e-06	 0.0113726
0.197319	 3.07894e-06	 1.2329e-06	 0.0118529
0.205271	 4.82852e-06	 1.3701e-06	 0.0123553
0.213545	 2.88907e-06	 1.36815e-06	 0.0128809
0.222151	 2.14458e-06	 1.4057e-06	 0.0134311
0.231105	 1.16821e-06	 1.33988e-06	 0.0140073
0.24042	 2.14024e-06	 1.30071e-06	 0.0146111
0.250109	 1.22507e-06	 1.25741e-06	 0.015244
0.26019	 2.02706e-06	 1.32866e-06	 0.0159078
0.270677	 1.08793e-07	 1.23861e-06	 0.0166043
0.281586	 9.90635e-07	 1.38604e-06	 0.0173357
0.292935	 1.79112e-06	 1.34401e-06	 0.0181042
