Q (1/A)	 Ref	 dRef (SD)	 dq(FWHM, 1/A)
0.00839091	 1.2613	 0.0591834	 0.000496053
0.00874939	 0.967339	 0.0206405	 0.000508982
0.00909879	 0.95385	 0.0177251	 0.000529292
0.00946158	 0.92033	 0.0154607	 0.000550816
0.00983984	 0.914193	 0.0136561	 0.000572889
0.0102335	 0.908851	 0.0124196	 0.000595826
0.010643	 0.873589	 0.0110597	 0.000619824
0.0110692	 0.866963	 0.0097143	 0.000644646
0.0115126	 0.829219	 0.00888478	 0.000670695
0.011974	 0.807822	 0.00816013	 0.000697879
0.0124542	 0.80075	 0.00754941	 0.000725844
0.012954	 0.759658	 0.00672213	 0.000755322
0.0134741	 0.716462	 0.0060799	 0.000785973
0.0140155	 0.650024	 0.00545952	 0.000817912
0.0145794	 0.58794	 0.00501543	 0.000851739
0.0151654	 0.537627	 0.00447713	 0.00088602
0.0157758	 0.483667	 0.00403643	 0.000922316
0.0164098	 0.433207	 0.00357957	 0.000959193
0.0170709	 0.379751	 0.00333194	 0.00099853
0.0177582	 0.311906	 0.0028419	 0.00103913
0.0184731	 0.262913	 0.00257328	 0.00108123
0.0192173	 0.207584	 0.00221369	 0.00112521
0.0199914	 0.166239	 0.00195344	 0.00117084
0.0207961	 0.131004	 0.00173786	 0.00121803
0.0216318	 0.109688	 0.00158847	 0.00126639
0.0225026	 0.0840908	 0.00137988	 0.00131741
0.0234056	 0.0757808	 0.0013499	 0.00136921
0.0243486	 0.0624611	 0.00123022	 0.00142467
0.0253318	 0.0514915	 0.00118116	 0.00148328
0.0263501	 0.0514282	 0.00112775	 0.00154232
0.0273207	 0.051271	 0.00102221	 0.0015982
0.0283765	 0.0501187	 0.000968588	 0.00166028
0.029488	 0.0504753	 0.000933971	 0.00172529
0.03064	 0.0479117	 0.000903762	 0.00179259
0.0318498	 0.0454319	 0.000849922	 0.00186404
0.0329569	 0.053501	 0.000939191	 0.00192215
0.0338432	 0.0458683	 0.00102567	 0.00198048
0.0352018	 0.0431331	 0.000944219	 0.00206026
0.0366153	 0.0342843	 0.000715832	 0.00214327
0.038086	 0.0278532	 0.000570572	 0.00222966
0.0396161	 0.0203881	 0.000411058	 0.00231955
0.0412082	 0.0139737	 0.000286641	 0.0024131
0.0428645	 0.00879494	 0.000186655	 0.00251044
0.0445878	 0.00484361	 0.000113736	 0.00261175
0.0463807	 0.00242865	 6.86188e-05	 0.00271717
0.0482461	 0.00116209	 4.28249e-05	 0.00282688
0.0501868	 0.000542498	 2.81922e-05	 0.00294107
0.0522058	 0.000521729	 2.63687e-05	 0.0030599
0.0543064	 0.00059139	 2.71301e-05	 0.00318358
0.0564917	 0.000567198	 2.57632e-05	 0.00331231
0.0587653	 0.000452305	 2.31852e-05	 0.00344629
0.0611306	 0.000205403	 1.61145e-05	 0.00358576
0.0635914	 7.89282e-05	 1.20305e-05	 0.00373093
0.0661515	 0.00012154	 1.40541e-05	 0.00388205
0.0688149	 0.000401647	 2.14804e-05	 0.00403937
0.0715857	 0.00076472	 3.0053e-05	 0.00420315
0.0744683	 0.000991976	 3.58249e-05	 0.00437367
0.0774672	 0.000885095	 3.43047e-05	 0.00455122
0.080587	 0.000764383	 3.15295e-05	 0.00473609
0.0838327	 0.000505622	 2.54052e-05	 0.00492861
0.0872093	 0.000279117	 2.01594e-05	 0.0051291
0.0907221	 0.000187727	 1.69433e-05	 0.00533792
0.0943765	 0.00018457	 1.64784e-05	 0.00555543
0.0981783	 0.000169022	 1.68337e-05	 0.00578201
